"gene","rho","p.value"
"Faf1",0.761904761904762,0.0280049391530718
"Ggps1",0.761904761904762,0.0280049391530718
"Gm15998",0.761904761904762,0.0280049391530718
"Gm26569",0.761904761904762,0.0280049391530718
"Gm26699",0.761904761904762,0.0280049391530718
"Hps1",0.761904761904762,0.0280049391530718
"Hscb",0.761904761904762,0.0280049391530718
"Lnpep",0.761904761904762,0.0280049391530718
"Lrrc73",0.761904761904762,0.0280049391530718
"Lrrk2",0.761904761904762,0.0280049391530718
"Max",0.761904761904762,0.0280049391530718
"Mitf",0.761904761904762,0.0280049391530718
"Ndufb9",0.761904761904762,0.0280049391530718
"Nfkbia",0.761904761904762,0.0280049391530718
"Pard6a",0.761904761904762,0.0280049391530718
"Pet112",0.761904761904762,0.0280049391530718
"Pip5k1c",0.761904761904762,0.0280049391530718
"Prpf18",0.761904761904762,0.0280049391530718
"Prr14",0.761904761904762,0.0280049391530718
"Rab6a",0.761904761904762,0.0280049391530718
"Rilp",0.761904761904762,0.0280049391530718
"Rps15",0.761904761904762,0.0280049391530718
"Rps21",0.761904761904762,0.0280049391530718
"Sgsm3",0.761904761904762,0.0280049391530718
"Sharpin",0.761904761904762,0.0280049391530718
"Sirt3",0.761904761904762,0.0280049391530718
"Slc39a4",0.761904761904762,0.0280049391530718
"Snx27",0.761904761904762,0.0280049391530718
"Stard3",0.761904761904762,0.0280049391530718
"Stx19",0.761904761904762,0.0280049391530718
"Swt1",0.761904761904762,0.0280049391530718
"Tab2",0.761904761904762,0.0280049391530718
"Tmed5",0.761904761904762,0.0280049391530718
"Tmem123",0.761904761904762,0.0280049391530718
"Tmem191c",0.761904761904762,0.0280049391530718
"Tmem192",0.761904761904762,0.0280049391530718
"Txlng",0.761904761904762,0.0280049391530718
"Vldlr",0.761904761904762,0.0280049391530718
"Wdr81",0.761904761904762,0.0280049391530718
